id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
56849,7e-06,pipe,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,6,6,6,6,0,0,0,9,10,0,Exploits,1
68882,9e-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,6,6,1,1,1,6,0,0,0,1,6,0,Normal,0
1205,0.844596,tcp,-,FIN,12,8,1014,740,22.495962,254,252,8808.945312,6137.845703,2,2,6100.475164,9150.803,660910.5554,23919.006,255,3034287901,3535196902,255,0.267957,0.13345,0.134507,85,93,0,0,5,1,1,2,1,2,0,0,0,2,2,0,Fuzzers,1
65380,0.444014,tcp,-,FIN,10,8,818,2214,38.28708,62,252,13278.86035,34917.81641,2,2,49.334889,50.989145,2594.669751,71.56543,255,3388626607,1273822380,255,0.135815,0.073994,0.061821,82,277,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
67850,1.822254,tcp,-,FIN,10,8,610,354,9.329106,254,252,2410.201904,1360.951904,2,1,202.472667,237.776,11185.6274,447.671656,255,3326074938,1817451731,255,0.300649,0.157092,0.143557,61,44,0,0,3,1,1,1,1,3,0,0,0,2,3,0,Normal,0
82266,0.602821,tcp,-,FIN,10,8,534,354,28.200743,254,252,6383.321289,4113.990723,2,1,66.884444,71.588711,3571.523257,145.385609,255,3601857913,3397470245,255,0.154519,0.101699,0.05282,53,44,0,0,2,1,2,2,1,2,0,0,0,2,2,0,Normal,0
45703,3.634745,tcp,smtp,FIN,240,54,304095,3132,80.610885,62,252,666518.3125,6765.812012,117,8,15.208138,67.268055,1565.38949,77.482086,255,364103143,213149786,255,0.11773,0.068994,0.048736,1267,58,0,0,2,1,1,2,1,1,0,0,0,4,1,0,Exploits,1
6976,0.699105,tcp,-,FIN,10,8,564,354,24.316804,254,252,5813.146484,3547.392578,2,1,76.294333,97.796141,5810.431531,141.43275,255,2635739375,1449503852,255,0.047761,0.014523,0.033238,56,44,0,0,1,1,1,1,1,1,0,0,0,11,1,0,Reconnaissance,1
30178,0.013041,tcp,-,FIN,36,38,2334,16290,5597.730286,31,29,1392531.25,9730542.0,7,12,0.363514,0.337162,22.162474,21.529561,255,1915183955,4060875048,255,0.000677,0.000555,0.000122,65,429,0,0,5,0,1,1,1,1,0,0,0,2,9,0,Normal,0
47396,7.6e-05,sun-nd,-,INT,1,0,60,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,9,2,6,6,6,6,0,0,0,6,8,0,Exploits,1
25839,0.004121,tcp,http,FIN,8,10,1040,824,4125.21238,31,29,1766561.5,1440427.125,2,2,0.539714,0.401444,35.236576,0.718576,255,2497207928,2502439732,255,0.000633,0.000503,0.00013,130,82,1,83,3,0,6,2,1,1,0,0,1,9,3,0,Normal,0
29321,0.02016,tcp,-,FIN,16,18,1540,1644,1636.904699,31,29,573015.875,616269.8125,4,4,1.321333,1.158647,80.861144,2.264832,255,1302680943,1307440175,255,0.000577,0.000456,0.000121,96,91,0,0,10,0,7,5,1,5,0,0,0,9,8,0,Normal,0
11963,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,59,2,17,17,9,59,0,0,0,17,59,0,Generic,1
73095,9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,5,2,2,2,2,3,0,0,0,3,3,0,Normal,0
8394,0.424631,tcp,-,FIN,10,6,534,268,35.324788,254,252,9061.985352,4220.134766,2,1,43.431778,71.202797,2413.476261,102.511086,255,2556643498,4127438145,255,0.119781,0.068613,0.051168,53,45,0,0,8,1,2,2,1,5,0,0,0,3,5,0,Fuzzers,1
76034,0.176343,tcp,-,CON,6,2,978,86,39.695368,62,252,36973.39844,1950.743774,2,1,35.2686,0.001,1904.868583,0.0,255,1507682713,158387118,255,0.124239,0.085926,0.038313,163,43,0,0,7,3,3,3,1,7,0,0,0,3,7,0,Normal,0
52802,4e-06,srp,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,4,4,4,4,0,0,0,11,14,0,Exploits,1
49747,2.716625,tcp,smtp,FIN,146,38,170086,2584,67.362997,62,252,497446.6563,7409.193359,70,8,18.735344,71.731242,2030.658651,98.139156,255,1054032433,92135170,255,0.109559,0.061987,0.047572,1165,68,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
24571,0.086006,tcp,-,FIN,48,50,2974,33374,1127.828283,31,29,270957.8438,3042299.25,7,18,1.823149,1.74451,108.499928,105.499502,255,1282468053,3428126100,255,0.000641,0.000514,0.000127,62,667,0,0,8,0,7,1,1,2,0,0,0,4,14,0,Normal,0
62888,0.43921,tcp,-,FIN,12,8,994,700,43.259489,254,252,16611.64453,11165.50195,3,2,36.507999,59.041715,1849.105325,75.659617,255,3409761443,2107264681,255,0.083504,0.025912,0.057592,83,88,0,0,6,1,2,2,1,2,0,0,0,2,6,0,Fuzzers,1
15438,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,14,14,14,29,0,0,0,15,29,0,Generic,1
77385,1.377228,tcp,ftp,FIN,64,20,68216,1026,60.265983,254,252,390064.6875,5663.550293,29,4,21.432158,66.669266,1963.630781,79.344766,255,3394254966,4102436258,255,0.209402,0.110502,0.0989,1066,51,0,0,3,1,1,1,1,3,0,0,0,1,3,0,Normal,0
2305,0.193305,tcp,http,FIN,10,6,1006,268,77.597579,254,252,37495.14844,9270.324219,2,1,20.333556,33.231398,1048.325943,51.52427,255,1992377314,320788068,255,0.071584,0.027144,0.04444,101,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
55813,1.1e-05,qnx,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,7,6,6,6,0,0,0,13,9,0,Exploits,1
75916,0.267468,tcp,-,CON,6,2,978,86,26.171355,62,252,24376.74805,1286.135132,2,1,53.4936,0.006,3322.058209,0.0,255,3512558446,2067203615,255,0.232284,0.125024,0.10726,163,43,0,0,6,3,3,3,1,6,0,0,0,3,6,0,Normal,0
46391,0.999123,tcp,-,FIN,10,8,564,354,17.014922,254,252,4067.567383,2482.177002,2,1,111.013667,133.757422,7020.327465,189.577375,255,1715157230,533652303,255,0.210244,0.062712,0.147532,56,44,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
2466,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
40531,0.952544,tcp,-,FIN,14,12,774,642,26.245507,254,252,6038.566406,4946.753418,4,3,71.285079,80.261367,4468.809712,108.047672,255,1696692579,917187824,255,0.100417,0.069661,0.030756,55,54,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
66317,13.996815,tcp,-,REQ,8,0,360,0,0.500114,254,0,180.04097,0.0,7,0,1999.545,0.0,3913.2065,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,12,2,2,26,0,0,0,13,26,0,Normal,0
65537,0.870101,tcp,-,FIN,14,12,774,642,28.732297,254,252,6610.727051,5415.463379,4,3,66.930849,70.018273,4115.225679,112.899805,255,676366878,1923162137,255,0.138514,0.073131,0.065383,55,54,0,0,5,1,1,1,1,1,0,0,0,1,6,0,Fuzzers,1
44053,1.820325,tcp,ftp,FIN,14,12,820,682,13.733811,254,252,3348.852539,2751.156982,4,4,137.205841,150.762547,7391.285066,197.133172,255,3776140287,1833028532,255,0.360535,0.161936,0.198599,59,57,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Fuzzers,1
37828,0.001053,udp,dns,CON,2,2,146,178,2849.002888,31,29,554605.875,676163.375,0,0,0.001,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,2,1,1,1,0,0,0,1,3,0,Normal,0
70744,0.549278,tcp,-,FIN,10,6,3102,268,27.308575,254,252,40664.28906,3262.464355,2,1,60.906,92.376602,2911.612726,128.218797,255,603754685,3430532227,255,0.163415,0.087387,0.076028,310,45,0,0,5,1,1,1,1,2,0,0,0,3,2,0,Normal,0
35844,0.865786,tcp,-,FIN,122,126,7816,16782,285.289893,31,29,71629.71094,153839.4063,30,32,7.15238,6.92184,469.572777,466.7438,255,466430553,2617042305,255,0.000725,0.00055,0.000175,64,133,0,0,4,0,4,1,1,1,0,0,0,1,6,0,Normal,0
47755,0.538801,tcp,-,FIN,32,14,28018,764,83.518774,254,252,403013.3438,10541.92481,13,4,17.380677,36.07123,1332.092861,60.465738,255,2093669573,719638953,255,0.1337,0.069229,0.064471,876,55,0,0,5,1,3,2,1,2,0,0,0,4,6,0,Fuzzers,1
80565,1.192999,tcp,http,FIN,10,10,824,1176,15.92625,62,252,4975.695801,7101.430664,2,2,132.555444,119.340336,7384.587341,219.976781,255,3293814998,3096272177,255,0.177142,0.095918,0.081224,82,118,1,204,4,1,3,3,3,4,0,0,9,3,4,0,Normal,0
79127,2.023479,tcp,-,FIN,12,10,994,806,10.378166,254,252,3605.671143,2870.304199,3,2,180.47654,192.214328,9976.2218,334.271125,255,2320276238,773028303,255,0.447646,0.293544,0.154102,83,81,0,0,2,1,1,2,1,1,0,0,0,2,1,0,Normal,0
71814,9e-06,udp,-,INT,2,0,1066,0,111111.1072,254,0,473777760.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,533,0,0,0,32,2,7,7,1,31,0,0,0,7,31,0,Normal,0
61804,3.6e-05,udp,-,INT,2,0,216,0,27777.7768,62,0,24000000.0,0.0,0,0,0.036,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
63130,0.7105,tcp,-,FIN,10,8,564,354,23.926812,254,252,5719.915527,3490.499756,2,1,78.944444,99.438859,5442.000958,142.781469,255,4157581435,3119301664,255,0.066576,0.01337,0.053206,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
52742,0.523813,tcp,-,FIN,10,6,534,268,28.636173,254,252,7346.132812,3421.068115,2,0,10832.6876,18054.334,1077980.85,40185.72,255,3781964560,1067868992,255,0.140668,0.075099,0.065569,53,45,0,0,6,1,6,5,2,5,0,0,0,6,10,0,Fuzzers,1
65600,3.601815,tcp,-,FIN,48,248,3168,332677,81.903152,62,252,6889.859863,735931.1875,2,122,76.63436,14.236304,3814.035253,1888.571904,255,425952217,597895820,255,0.145798,0.084806,0.060992,66,1341,0,0,2,1,1,1,1,1,0,0,0,2,1,0,Generic,1
12434,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,38,2,33,33,19,38,0,0,0,33,38,0,Generic,1
3647,1.067994,tcp,smtp,FIN,76,28,80358,2194,96.44249,62,252,594018.3125,15850.27637,35,8,14.239919,37.513742,1211.019202,51.225051,255,2168178996,1331728761,255,0.082791,0.032186,0.050605,1057,78,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
57722,3.7e-05,udp,dns,INT,2,0,114,0,27027.02585,254,0,12324324.0,0.0,0,0,0.037,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,4,4,4,4,0,0,0,5,14,0,Generic,1
81673,0.501361,tcp,-,CON,6,2,998,86,13.961995,62,252,13275.86231,686.132324,2,1,100.2722,0.004,6387.572928,0.0,255,2031658611,1707488589,255,0.448637,0.0921,0.356537,166,43,0,0,6,3,4,4,1,6,0,0,0,4,6,0,Normal,0
79330,1.209782,tcp,-,FIN,12,8,986,750,15.705309,254,252,5977.936523,4344.584473,3,2,107.886906,158.609422,5638.311685,241.111344,255,2325231701,1110000448,255,0.252139,0.099513,0.152626,82,94,0,0,4,1,1,1,1,3,0,0,0,2,4,0,Normal,0
63011,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,3,3,3,3,0,0,0,3,11,0,Generic,1
79050,1.004843,tcp,-,FIN,12,8,1106,750,18.908427,254,252,8072.902832,5230.667969,3,2,91.256092,124.171,4894.513511,180.642953,255,3096592263,550384130,255,0.215879,0.135645,0.080234,92,94,0,0,5,1,1,1,1,5,0,0,0,1,5,0,Normal,0
16870,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,13,13,8,29,0,0,0,13,29,0,Generic,1
16500,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,43,2,26,25,25,44,0,0,0,28,43,0,Generic,1
77127,0.660853,tcp,-,FIN,10,6,534,268,22.697936,254,252,5822.777344,2711.646729,2,1,68.646111,102.484797,3516.195134,140.732078,255,3811321815,2746628009,255,0.242092,0.148423,0.093669,53,45,0,0,6,1,2,2,1,9,0,0,0,2,6,0,Normal,0
72843,9e-06,udp,-,INT,2,0,78,0,111111.1072,254,0,34666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,7,2,1,1,1,2,0,0,0,1,2,0,Normal,0
26464,0.018313,tcp,-,FIN,16,18,1540,1644,1801.998582,31,29,630808.6875,678425.1875,4,4,1.199733,1.039471,81.8547,1.852626,255,1419698622,3575921429,255,0.000785,0.000636,0.000149,96,91,0,0,4,0,2,2,1,2,0,0,0,2,4,0,Normal,0
23364,0.03338,tcp,-,FIN,122,126,7814,15690,7399.640108,31,29,1857399.5,3730617.0,30,32,0.273025,0.262504,17.525963,15.034982,255,1400901975,1401953780,255,0.000737,0.000562,0.000175,64,125,0,0,8,0,2,1,1,1,0,0,0,2,13,0,Normal,0
49505,5e-06,udp,-,INT,2,0,168,0,200000.0051,254,0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
25401,0.14298,tcp,-,FIN,54,56,3302,40550,762.344414,31,29,181340.0469,2228339.75,7,21,2.691774,2.591327,160.944339,157.415278,255,2886618109,2959448542,255,0.000554,0.000446,0.000108,61,724,0,0,14,0,3,1,1,2,0,0,0,4,10,0,Normal,0
5126,8e-06,sccopmce,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,3,4,0,Exploits,1
73318,4.220137,tcp,-,FIN,14,14,1240,764,6.397896,254,252,2183.815186,1345.927856,4,4,324.620538,310.517219,18766.32127,529.741562,255,3306210247,4040696140,255,0.327301,0.18341,0.143891,89,55,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0
457,0.67514,tcp,-,FIN,10,8,564,354,25.179962,254,252,6019.492188,3673.312012,2,1,75.015556,94.46,5856.686828,148.252813,255,3685276595,218706777,255,0.055437,0.00705,0.048387,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
41392,0.437837,tcp,-,CON,6,2,998,86,15.987685,62,252,15202.00391,785.680481,2,1,87.5674,0.009,4655.672091,0.0,255,3756386767,2029836066,255,0.298191,0.259001,0.03919,166,43,0,0,6,3,2,2,1,5,0,0,0,2,5,0,Normal,0
47654,5e-06,hmp,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,7,6,6,6,0,0,0,6,6,0,DoS,1
39187,0.046425,tcp,ftp-data,FIN,6,8,320,1828,280.021541,31,29,46009.69141,275713.5313,1,2,9.2184,6.547286,641.404212,15.709813,255,157282347,170491844,255,0.00072,0.000591,0.000129,53,229,0,0,4,0,3,1,1,2,0,0,0,3,3,0,Normal,0
14992,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,2,3,3,3,28,0,0,0,3,28,0,Generic,1
26549,0.000955,udp,dns,CON,2,2,146,178,3141.36127,31,29,611518.3125,745549.75,0,0,0.011,0.005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,6,0,2,1,1,1,0,0,0,1,3,0,Normal,0
33855,0.001103,udp,dns,CON,2,2,132,164,2719.854899,31,29,478694.4688,594741.625,0,0,0.01,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,4,0,2,1,1,1,0,0,0,15,5,0,Normal,0
25452,0.03816,tcp,-,FIN,22,26,1920,4416,1231.656185,31,29,384276.7188,890356.375,6,6,1.188476,1.49968,128.600702,140.074302,255,2966876519,2967237310,255,0.00079,0.000666,0.000124,87,170,0,0,4,0,4,2,1,2,0,0,0,2,3,0,Normal,0
31729,0.0,arp,-,CON,2,2,56,92,0.07536,0,0,5.626914,9.244215,0,0,39808.512,39808.492,0.0,8.922835,0,0,0,0,0.0,0.0,0.0,28,46,0,0,2,0,2,2,2,2,0,0,0,2,2,0,Normal,0
53350,3.22923,tcp,smtp,FIN,90,30,97465,2320,36.850891,62,252,238776.4375,5556.742676,42,8,36.273584,106.895031,3561.474655,156.134547,255,2817196294,3241918269,255,0.195486,0.12927,0.066216,1083,77,0,0,1,1,1,1,1,1,0,0,0,4,1,0,Exploits,1
74589,0.526942,tcp,-,FIN,10,6,534,268,28.46613,254,252,7302.51123,3400.753662,2,1,56.081889,84.941,2879.729863,121.54093,255,2279878802,2133720013,255,0.195662,0.102228,0.093434,53,45,0,0,4,1,1,1,1,2,0,0,0,2,2,0,Normal,0
54954,1.1e-05,udp,-,INT,2,0,226,0,90909.0902,254,0,82181816.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,113,0,0,0,17,2,7,7,1,7,0,0,0,7,16,0,Fuzzers,1
70486,1.218936,tcp,-,FIN,10,8,534,354,13.94659,254,252,3156.851562,2034.561401,2,1,135.335333,154.69,7651.161787,244.265344,255,4230259582,3012896437,255,0.228178,0.136105,0.092073,53,44,0,0,1,1,2,1,1,1,0,0,0,1,2,0,Normal,0
5531,0.393871,tcp,ftp,FIN,14,12,2566,702,63.472557,254,252,48401.63281,13080.42481,4,4,30.29777,32.878273,1598.612487,44.105547,255,1652919151,776820015,255,0.065247,0.020194,0.045053,183,59,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
35534,0.001052,udp,dns,CON,2,2,146,178,2851.711087,31,29,555133.0625,676806.125,0,0,0.01,0.005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,4,2,1,1,0,0,0,4,2,0,Normal,0
43974,3.654899,tcp,-,FIN,18,22,990,7650,10.67061,62,252,2046.568237,15985.12109,6,9,214.994059,168.478281,15166.03466,0.0,255,4170725271,4066951386,255,0.179982,0.087815,0.092167,55,348,0,0,2,1,1,1,1,1,0,0,0,2,1,0,Exploits,1
56659,7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,7,7,3,7,0,0,0,7,14,0,Generic,1
18261,3.6e-05,udp,dns,INT,2,0,114,0,27777.7768,254,0,12666666.0,0.0,0,0,0.036,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,38,37,22,37,0,0,0,37,37,0,Generic,1
57360,1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,3,3,3,3,0,0,0,3,9,0,Generic,1
7829,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,3,7,0,Exploits,1
41464,0.876759,tcp,-,FIN,12,10,1040,850,23.95185,254,252,8704.787109,6980.253418,3,2,75.247361,91.683781,4864.230753,122.379297,255,770213537,1464058470,255,0.127097,0.051597,0.0755,87,85,0,0,3,1,1,1,1,3,0,0,0,1,3,0,Normal,0
44462,0.958299,tcp,http,FIN,10,8,812,354,17.739766,254,252,6102.479492,2587.918945,2,1,99.270667,123.696859,5340.214795,217.854813,255,2102349675,733780309,255,0.191192,0.092412,0.09878,81,44,0,0,1,1,3,1,1,1,0,0,0,1,1,0,Reconnaissance,1
12618,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,21,2,21,21,21,21,0,0,0,22,21,0,Generic,1
12791,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,38,2,29,29,10,38,0,0,0,29,38,0,Generic,1
16064,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,20,2,18,18,18,20,0,0,0,18,20,0,Generic,1
62491,6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,5,2,3,3,3,3,0,0,0,3,5,0,Generic,1
3680,1.287986,tcp,-,FIN,12,10,1264,838,16.304525,254,252,7198.835938,4689.491699,3,2,117.089636,130.300891,7730.610772,171.045578,255,451078220,226585333,255,0.199283,0.114654,0.084629,105,84,0,0,4,1,1,1,1,3,0,0,0,1,3,0,Fuzzers,1
78146,1.560087,tcp,-,FIN,10,8,634,354,10.896828,254,252,2928.041992,1589.655029,2,1,173.343,207.089859,11228.52995,282.910031,255,601637244,3390378711,255,0.192503,0.10969,0.082813,63,44,0,0,3,1,1,1,1,4,0,0,0,1,3,0,Normal,0
68538,0.61997,tcp,-,FIN,10,8,534,354,27.420681,254,252,6206.751465,4000.193359,2,1,63.286556,78.894,4146.506496,119.771047,255,1182573809,2985994301,255,0.104911,0.067704,0.037207,53,44,0,0,4,1,1,1,1,2,0,0,0,1,2,0,Normal,0
29158,0.001045,udp,dns,CON,2,2,130,162,2870.813285,31,29,497607.625,620095.6875,0,0,0.001,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,2,2,2,2,0,0,0,5,5,0,Normal,0
